title,typeOfTest,timeDuration,marksCorrect,marksWrong,questionText,option1,option2,option3,option4,answer
Biology Test,Full Mock Test,60,1,0.222,"Match these cellular components with their composition:
A. Plasma membrane    1. Proteins and nucleic acids
B. Nuclear membrane   2. Lipids and proteins
C. Cell wall         3. Cellulose and pectin
D. Chromosomes       4. Double membrane with pores

Select the correct match:","A-2, B-4, C-3, D-1","A-1, B-2, C-4, D-3","A-3, B-4, C-1, D-2","A-4, B-3, C-2, D-1","A-2, B-4, C-3, D-1"
Biology Test,Full Mock Test,60,1,0.222,"Consider these statements about cell walls:
1. Present in plants and bacteria
2. Provides structural support
3. Allows selective transport
4. Made of same material in all organisms

Which statements are correct?","1 and 2 only","2 and 3 only","1, 2 and 3 only","All of the above","1 and 2 only"
Biology Test,Full Mock Test,60,1,0.222,"A cell biologist observes:
1. Loss of cell contents
2. Shrinkage of cytoplasm
3. Membrane detachment from wall
4. Cell in salt solution

The process being studied is:","Osmosis","Plasmolysis","Deplasmolysis","Diffusion","Plasmolysis"
Biology Test,Full Mock Test,60,1,0.222,"With reference to cell transport, analyze:
1. Endocytosis brings material into the cell
2. Amoeba feeds by phagocytosis
3. Exocytosis requires ATP
4. Diffusion is a passive process

Which statements are correct?","1, 2 and 3 only","2, 3 and 4 only","1, 2 and 4 only","All of the above","All of the above"
Biology Test,Full Mock Test,60,1,0.222,"Match the following regarding chromosomes:
A. Diploid cell      1. 23 chromosomes
B. Haploid cell      2. 46 chromosomes
C. Somatic cell      3. Gamete
D. Sex cell          4. Body cell

Choose the correct match:","A-2, B-1, C-4, D-3","A-1, B-2, C-3, D-4","A-3, B-4, C-1, D-2","A-4, B-3, C-2, D-1","A-2, B-1, C-4, D-3"
Biology Test,Full Mock Test,60,1,0.222,"Consider these statements about cell division:
1. Mitosis maintains chromosome number
2. Meiosis reduces chromosome number
3. Mitosis occurs in all body cells
4. Meiosis occurs only in sex organs

Which statements are correct?","1, 2 and 3 only","2, 3 and 4 only","1 and 4 only","All of the above","All of the above"
Biology Test,Full Mock Test,60,1,0.222,"A cell is placed in different solutions. Consider:
1. Cell gains water in hypotonic solution
2. Cell loses water in hypertonic solution
3. No net water movement in isotonic solution
4. Cell wall prevents bursting in plant cells

Which statements are correct?","1, 2 and 3 only","2, 3 and 4 only","1, 2 and 4 only","All of the above","All of the above"
Biology Test,Full Mock Test,60,1,0.222,"Match these plant tissues with their locations:
A. Apical meristem     1. Stem and root tips
B. Lateral meristem    2. Vascular cambium
C. Ground tissue       3. Cortex and pith
D. Dermal tissue       4. Epidermis

Select the correct match:","A-1, B-2, C-3, D-4","A-2, B-1, C-4, D-3","A-3, B-4, C-1, D-2","A-4, B-3, C-2, D-1","A-1, B-2, C-3, D-4"
Biology Test,Full Mock Test,60,1,0.222,"Analyze these statements about plant tissues:
1. Parenchyma cells are living and thin-walled
2. Collenchyma provides flexibility
3. Sclerenchyma cells are dead at maturity
4. All permanent tissues are capable of division

Which statements are correct?","1, 2 and 3 only","2, 3 and 4 only","1 and 4 only","All of the above","1, 2 and 3 only"
Biology Test,Full Mock Test,60,1,0.222,"Consider these features of cell organelles:
1. Ribosomes synthesize proteins
2. Golgi body modifies proteins
3. Lysosomes contain digestive enzymes
4. Mitochondria produce ATP

Which statements are correct?","1, 2 and 3 only","2, 3 and 4 only","1 and 4 only","All of the above","All of the above"
Biology Test,Full Mock Test,60,1,0.222,"Match these organelles with their functions:
A. Mitochondria    1. Protein synthesis
B. Chloroplast     2. Energy production
C. Golgi body      3. Photosynthesis
D. Ribosome        4. Protein modification

Select the correct match:","A-2, B-3, C-4, D-1","A-1, B-2, C-3, D-4","A-3, B-4, C-1, D-2","A-4, B-3, C-2, D-1","A-2, B-3, C-4, D-1"
Biology Test,Full Mock Test,60,1,0.222,"A cell biologist observes these features:
1. Double membrane structure
2. Own DNA and ribosomes
3. Cristae formation
4. ATP synthesis

The organelle being studied is:","Nucleus","Chloroplast","Mitochondria","Golgi body","Mitochondria"
Biology Test,Full Mock Test,60,1,0.222,"Consider these statements about plastids:
1. Chloroplasts contain chlorophyll
2. Chromoplasts provide color to flowers
3. Leucoplasts store nutrients
4. All plastids can interconvert

Which statements are correct?","1, 2 and 3 only","2, 3 and 4 only","1 and 4 only","All of the above","All of the above"
Biology Test,Full Mock Test,60,1,0.222,"Assertion (A): Prokaryotic cells are simpler than eukaryotic cells.
Reason (R): Prokaryotes lack membrane-bound organelles and have a single circular chromosome.

Choose the correct answer:","A is true but R is false","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is false but R is true","Both A and R are true and R is the correct explanation of A"
